"","ID","word","nugget","argument","Attack"
"110",370,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"111",372,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"112",372,"lock","O","B-System","PatchVulnerability"
"113",372,".","O","B-Vulnerability","PatchVulnerability"
"114",373,"PayPal","O","I-Vulnerability","PatchVulnerability"
"115",373,"Vulnerability","O","I-Vulnerability","PatchVulnerability"
"116",373,"Allows","O","I-Vulnerability","PatchVulnerability"
"117",378,"open","O","B-Vulnerability","PatchVulnerability"
"118",378,"to","O","I-Vulnerability","PatchVulnerability"
"119",390,".","O","B-System","PatchVulnerability"
"120",391,"lead","O","I-Version","PatchVulnerability"
"121",391,"http://bit.ly/1jzOycrÃ<U+0082>Â ","O","B-System","PatchVulnerability"
"122",393,"open","O","B-Vulnerability","PatchVulnerability"
"123",393,"to","O","I-Vulnerability","PatchVulnerability"
"124",399,"to","O","I-Vulnerability","PatchVulnerability"
"125",400,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"126",400,"iOS","O","B-Person","DiscoverVulnerability"
"127",400,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"128",400,"file","O","B-System","DiscoverVulnerability"
"129",400,"attack","O","I-Software","DiscoverVulnerability"
"130",401,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"131",401,"iOS","O","B-Person","DiscoverVulnerability"
"132",401,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"133",401,"file","O","B-System","DiscoverVulnerability"
"134",401,"attack","O","I-Software","DiscoverVulnerability"
"135",403,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"136",403,"iOS","O","B-Person","DiscoverVulnerability"
"137",403,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"138",403,"file","O","B-System","DiscoverVulnerability"
"139",403,"attack","O","I-Software","DiscoverVulnerability"
"140",404,"vulnerability","O","I-Organization","DiscoverVulnerability"
"141",404,"shortcomings","O","I-Vulnerability","DiscoverVulnerability"
"142",404,"helps","O","I-Vulnerability","DiscoverVulnerability"
"143",409,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"144",409,"iOS","O","B-Person","DiscoverVulnerability"
"145",409,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"146",409,"file","O","B-System","DiscoverVulnerability"
"147",409,"attack","O","I-Software","DiscoverVulnerability"
"148",413,":","O","B-Vulnerability","DiscoverVulnerability"
"149",413,"[","O","B-Vulnerability","DiscoverVulnerability"
"150",413,"http://eset.comÃ<U+0082>Â ","O","I-Vulnerability","DiscoverVulnerability"
"151",416,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"152",420,"is","B-DiscoverVulnerability","O","DiscoverVulnerability"
"153",420,"his","O","B-Person","DiscoverVulnerability"
"154",420,"might","B-DiscoverVulnerability","O","DiscoverVulnerability"
"155",420,"be","I-DiscoverVulnerability","O","DiscoverVulnerability"
"156",420,"vulnerable","I-DiscoverVulnerability","O","DiscoverVulnerability"
"157",427,"of","O","B-Organization","DiscoverVulnerability"
"158",427,"patch","B-PatchVulnerability","O","PatchVulnerability"
"159",427,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"160",427,"http://okt.to/OmAOCzÃ<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"161",427,"?","O","I-Vulnerability","DiscoverVulnerability"
"162",434,"to","O","I-Vulnerability","DiscoverVulnerability"
"163",436,"open","O","B-Vulnerability","DiscoverVulnerability"
"164",436,"to","O","I-Vulnerability","DiscoverVulnerability"
"165",437,"open","O","B-Vulnerability","DiscoverVulnerability"
"166",437,"to","O","I-Vulnerability","DiscoverVulnerability"
"167",438,"open","O","B-Vulnerability","DiscoverVulnerability"
"168",438,"to","O","I-Vulnerability","DiscoverVulnerability"
"169",439,"to","O","I-Vulnerability","DiscoverVulnerability"
"170",440,"open","O","B-Vulnerability","DiscoverVulnerability"
"171",440,"to","O","I-Vulnerability","DiscoverVulnerability"
"172",441,"open","O","B-Vulnerability","DiscoverVulnerability"
"173",441,"to","O","I-Vulnerability","DiscoverVulnerability"
"174",442,"open","O","B-Vulnerability","DiscoverVulnerability"
"175",442,"to","O","I-Vulnerability","DiscoverVulnerability"
"176",444,"open","O","B-Vulnerability","DiscoverVulnerability"
"177",444,"to","O","I-Vulnerability","DiscoverVulnerability"
"178",447,"open","O","B-Vulnerability","DiscoverVulnerability"
"179",447,"to","O","I-Vulnerability","DiscoverVulnerability"
"180",450,"increased","I-PatchVulnerability","O","PatchVulnerability"
"181",451,"WinRAR","O","I-Vulnerability","PatchVulnerability"
"182",457,"on","O","B-Vulnerability","PatchVulnerability"
"183",464,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"184",464,"vulnerability","O","B-Vulnerability","DiscoverVulnerability"
"185",464,"Creator","O","I-Vulnerability","DiscoverVulnerability"
"186",465,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"187",465,"vulnerability","O","B-Vulnerability","DiscoverVulnerability"
"188",465,"Creator","O","I-Vulnerability","DiscoverVulnerability"
"189",502,"Vulnerability","O","I-Vulnerability","DiscoverVulnerability"
"190",528,"A","O","B-Vulnerability","DiscoverVulnerability"
"191",528,"affects","B-DiscoverVulnerability","O","DiscoverVulnerability"
"192",528,"these","O","B-Vulnerability","DiscoverVulnerability"
"193",528,"of","O","I-Vulnerability","DiscoverVulnerability"
"194",528,"Ã¢Â<U+0080>Â¦","O","B-System","DiscoverVulnerability"
"195",529,"affects","B-DiscoverVulnerability","O","DiscoverVulnerability"
"196",529,"of","O","I-Vulnerability","DiscoverVulnerability"
"197",529,":","O","B-System","DiscoverVulnerability"
"198",532,"to","O","I-Vulnerability","DiscoverVulnerability"
"199",554,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"200",554,"http://www.welivesecurity.com/2015/09/30/significant-winrar-vulnerability-identified/Ã<U+0082>Â Ã¢Â<U+0080>Â¦","O","B-Vulnerability","DiscoverVulnerability"
"201",555,"WinRAR","O","I-Vulnerability","DiscoverVulnerability"
"202",555,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"203",555,"see","O","B-Vulnerability","DiscoverVulnerability"
"204",555,"http://disq.us/8os0y6Ã<U+0082>Â pic.twitter.com/FkRAKzCQPh","O","B-Vulnerability","DiscoverVulnerability"
"205",556,"Expert","O","I-Vulnerability","DiscoverVulnerability"
"206",557,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"207",557,"fuzzing","O","I-Vulnerability","DiscoverVulnerability"
"208",557,"got","B-PatchVulnerability","I-Vulnerability","PatchVulnerability"
"209",557,"patched","I-PatchVulnerability","O","PatchVulnerability"
"210",557,"in","O","B-Time","PatchVulnerability"
"211",557,".","O","B-Vulnerability","PatchVulnerability"
"212",558,"no","O","B-System","PatchVulnerability"
"213",559,"upload","O","B-System","PatchVulnerability"
"214",559,"file","O","I-Capabilities","PatchVulnerability"
"215",559,"http://haktuts.blogspot.com/2015/09/vulnerability-in-ios-allowing-attacker-to-upload-malicious-file.htmlÃ<U+0082>Â Ã¢Â<U+0080>Â¦","O","I-Capabilities","PatchVulnerability"
"216",560,"discloses","B-DiscoverVulnerability","O","DiscoverVulnerability"
"217",560,"in","O","B-Person","DiscoverVulnerability"
"218",560,"http://j.mp/1M6MF2ZÃ<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"219",561,"Critical","O","I-Vulnerability","DiscoverVulnerability"
"220",569,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"221",570,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"222",571,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"223",572,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"224",575,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"225",575,"http://ift.tt/1WykD2LÃ<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"226",575,"An","O","B-Vulnerability","DiscoverVulnerability"
"227",575,"expert","O","I-Vulnerability","DiscoverVulnerability"
"228",575,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"229",575,"the","O","B-Person","DiscoverVulnerability"
"230",575,"popular","O","I-Person","DiscoverVulnerability"
"231",579,"shows","B-DiscoverVulnerability","O","DiscoverVulnerability"
"232",607,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"233",607,"Siri","O","B-System","PatchVulnerability"
"234",607,"lock","O","B-Version","PatchVulnerability"
"235",607,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"236",607,"that","O","I-Vulnerability","PatchVulnerability"
"237",607,"let","O","I-Vulnerability","PatchVulnerability"
"238",607,"users","O","I-Vulnerability","PatchVulnerability"
"239",607,"access","O","I-Vulnerability","PatchVulnerability"
"240",607,"and","O","B-Capabilities","PatchVulnerability"
"241",607,"contacts","O","I-Capabilities","PatchVulnerability"
"242",607,"-","O","I-Capabilities","PatchVulnerability"
"243",607,"Mac","O","I-Capabilities","PatchVulnerability"
"244",607,"Rumors","O","I-Capabilities","PatchVulnerability"
"245",607,"http://buff.ly/1FItIS8Ã<U+0082>Â ","O","I-Capabilities","PatchVulnerability"
"246",612,":","O","I-Vulnerability","PatchVulnerability"
"247",616,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"248",616,"-","O","B-Vulnerability","DiscoverVulnerability"
"249",616,"An","O","B-Vulnerability","DiscoverVulnerability"
"250",616,"expert","O","I-Vulnerability","DiscoverVulnerability"
"251",616,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"252",616,"popular","O","I-Person","DiscoverVulnerability"
"253",617,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"254",617,"Siri","O","B-System","PatchVulnerability"
"255",617,"lock","O","B-Version","PatchVulnerability"
"256",617,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"257",617,"that","O","I-Vulnerability","PatchVulnerability"
"258",617,"let","O","I-Vulnerability","PatchVulnerability"
"259",617,"users","O","I-Vulnerability","PatchVulnerability"
"260",617,"access","O","I-Vulnerability","PatchVulnerability"
"261",617,"and","O","B-Capabilities","PatchVulnerability"
"262",617,"contacts","O","I-Capabilities","PatchVulnerability"
"263",617,"on","O","I-Capabilities","PatchVulnerability"
"264",617,"a","O","I-Capabilities","PatchVulnerability"
"265",617,"locked","O","I-Capabilities","PatchVulnerability"
"266",618,"a","O","I-Device","PatchVulnerability"
"267",618,"related","O","I-Device","PatchVulnerability"
"268",618,"thinks","B-DiscoverVulnerability","O","DiscoverVulnerability"
"269",621,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"270",621,"Siri","O","B-System","PatchVulnerability"
"271",621,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"272",621,"that","O","I-Vulnerability","PatchVulnerability"
"273",621,"let","O","I-Vulnerability","PatchVulnerability"
"274",621,"users","O","I-Vulnerability","PatchVulnerability"
"275",621,"access","O","I-Vulnerability","PatchVulnerability"
"276",621,"and","O","B-Capabilities","PatchVulnerability"
"277",621,"contacts","O","I-Capabilities","PatchVulnerability"
"278",621,"on","O","I-Capabilities","PatchVulnerability"
"279",621,"a","O","I-Capabilities","PatchVulnerability"
"280",621,"locked","O","I-Capabilities","PatchVulnerability"
"281",621,"Ã¢Â<U+0080>Â¦","O","I-Capabilities","PatchVulnerability"
"282",626,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"283",626,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"284",626,"that","O","I-Vulnerability","PatchVulnerability"
"285",626,"let","O","I-Vulnerability","PatchVulnerability"
"286",626,"users","O","I-Vulnerability","PatchVulnerability"
"287",626,"access","O","I-Vulnerability","PatchVulnerability"
"288",626,"and","O","B-Capabilities","PatchVulnerability"
"289",626,"contacts","O","I-Capabilities","PatchVulnerability"
"290",626,"on","O","I-Capabilities","PatchVulnerability"
"291",626,"a","O","I-Capabilities","PatchVulnerability"
"292",627,"traits","O","I-Device","PatchVulnerability"
"293",627,"of","O","I-Device","PatchVulnerability"
"294",632,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"295",632,"the","O","B-System","PatchVulnerability"
"296",632,"lock","O","B-Version","PatchVulnerability"
"297",632,"that","O","B-Vulnerability","PatchVulnerability"
"298",632,"allowed","O","I-Vulnerability","PatchVulnerability"
"299",632,"access","O","I-Vulnerability","PatchVulnerability"
"300",632,"to","O","I-Vulnerability","PatchVulnerability"
"301",632,"and","O","B-Capabilities","PatchVulnerability"
"302",632,"contacts","O","I-Capabilities","PatchVulnerability"
"303",632,"on","O","I-Capabilities","PatchVulnerability"
"304",632,"a","O","I-Capabilities","PatchVulnerability"
"305",632,"device","O","I-Capabilities","PatchVulnerability"
"306",633,"iOS","O","B-Device","PatchVulnerability"
"307",633,"9.0.2","O","I-Device","PatchVulnerability"
"308",633,"also","O","I-Device","PatchVulnerability"
"309",633,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"310",633,"the","O","B-System","PatchVulnerability"
"311",633,"lock","O","B-Version","PatchVulnerability"
"312",633,"that","O","B-Vulnerability","PatchVulnerability"
"313",633,"allowed","O","I-Vulnerability","PatchVulnerability"
"314",633,"access","O","I-Vulnerability","PatchVulnerability"
"315",633,"to","O","I-Vulnerability","PatchVulnerability"
"316",633,"and","O","B-Capabilities","PatchVulnerability"
"317",633,"contacts","O","I-Capabilities","PatchVulnerability"
"318",633,"on","O","I-Capabilities","PatchVulnerability"
"319",633,"a","O","I-Capabilities","PatchVulnerability"
"320",633,"device","O","I-Capabilities","PatchVulnerability"
"321",634,"iOS","O","B-Device","PatchVulnerability"
"322",634,"9.0.2","O","I-Device","PatchVulnerability"
"323",634,"fixes","B-PatchVulnerability","I-Device","PatchVulnerability"
"324",634,"Siri","O","B-System","PatchVulnerability"
"325",634,"lock","O","B-Version","PatchVulnerability"
"326",634,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"327",634,"that","O","I-Vulnerability","PatchVulnerability"
"328",634,"let","O","I-Vulnerability","PatchVulnerability"
"329",634,"users","O","I-Vulnerability","PatchVulnerability"
"330",634,"access","O","I-Vulnerability","PatchVulnerability"
"331",634,"and","O","B-Capabilities","PatchVulnerability"
"332",634,"contacts","O","I-Capabilities","PatchVulnerability"
"333",634,"on","O","I-Capabilities","PatchVulnerability"
"334",634,"a","O","I-Capabilities","PatchVulnerability"
"335",634,"locked","O","I-Capabilities","PatchVulnerability"
"336",635,"The","O","I-Device","PatchVulnerability"
"337",635,"Docs","O","I-Device","PatchVulnerability"
"338",636,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"339",636,"-","O","B-Vulnerability","DiscoverVulnerability"
"340",636,"An","O","B-Vulnerability","DiscoverVulnerability"
"341",636,"expert","O","I-Vulnerability","DiscoverVulnerability"
"342",636,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"343",636,"popular","O","I-Person","DiscoverVulnerability"
"344",637,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"345",637,"Siri","O","B-System","PatchVulnerability"
"346",637,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"347",637,"that","O","I-Vulnerability","PatchVulnerability"
"348",637,"let","O","I-Vulnerability","PatchVulnerability"
"349",637,"users","O","I-Vulnerability","PatchVulnerability"
"350",637,"access","O","I-Vulnerability","PatchVulnerability"
"351",637,"and","O","B-Capabilities","PatchVulnerability"
"352",637,"contacts","O","I-Capabilities","PatchVulnerability"
"353",637,"on","O","I-Capabilities","PatchVulnerability"
"354",637,"a","O","I-Capabilities","PatchVulnerability"
"355",637,"lock","O","I-Capabilities","PatchVulnerability"
"356",637,"Ã¢Â<U+0080>Â¦","O","I-Capabilities","PatchVulnerability"
"357",640,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"358",640,"Siri","O","B-System","PatchVulnerability"
"359",640,"lock","O","B-Version","PatchVulnerability"
"360",640,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"361",640,"that","O","I-Vulnerability","PatchVulnerability"
"362",640,"let","O","I-Vulnerability","PatchVulnerability"
"363",640,"users","O","I-Vulnerability","PatchVulnerability"
"364",640,"access","O","I-Vulnerability","PatchVulnerability"
"365",640,"and","O","B-Capabilities","PatchVulnerability"
"366",640,"contacts","O","I-Capabilities","PatchVulnerability"
"367",640,"on","O","I-Capabilities","PatchVulnerability"
"368",640,"a","O","I-Capabilities","PatchVulnerability"
"369",640,"locked","O","I-Capabilities","PatchVulnerability"
"370",641,"Zer0-day","O","I-Device","PatchVulnerability"
"371",641,"Vulnerability","O","I-Device","PatchVulnerability"
"372",642,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"373",642,"Siri","O","B-System","PatchVulnerability"
"374",642,"lock","O","B-Version","PatchVulnerability"
"375",642,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"376",642,"that","O","I-Vulnerability","PatchVulnerability"
"377",642,"let","O","I-Vulnerability","PatchVulnerability"
"378",642,"users","O","I-Vulnerability","PatchVulnerability"
"379",642,"access","O","I-Vulnerability","PatchVulnerability"
"380",642,"and","O","B-Capabilities","PatchVulnerability"
"381",642,"contacts","O","I-Capabilities","PatchVulnerability"
"382",642,"on","O","I-Capabilities","PatchVulnerability"
"383",642,"a","O","I-Capabilities","PatchVulnerability"
"384",642,"locked","O","I-Capabilities","PatchVulnerability"
"385",643,"Vulnerability","O","I-Device","PatchVulnerability"
"386",643,"Is","O","I-Device","PatchVulnerability"
"387",651,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"388",651,"in","I-DiscoverVulnerability","O","DiscoverVulnerability"
"389",651,"the","O","B-Vulnerability","DiscoverVulnerability"
"390",651,"latest","O","I-Vulnerability","DiscoverVulnerability"
"391",651,"http://ow.ly/SR7NDÃ<U+0082>Â ","O","I-Version","DiscoverVulnerability"
"392",651,"#datasec","O","I-Version","DiscoverVulnerability"
"393",652,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"394",652,"vulnerability","O","B-Person","DiscoverVulnerability"
"395",652,"your","O","B-Vulnerability","DiscoverVulnerability"
"396",652,"website","O","I-Vulnerability","DiscoverVulnerability"
"397",652,",","O","I-Vulnerability","DiscoverVulnerability"
"398",653,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"399",653,"iOS","O","B-Person","DiscoverVulnerability"
"400",653,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"401",653,"file","O","B-System","DiscoverVulnerability"
"402",653,"attack","O","I-Software","DiscoverVulnerability"
"403",654,"discovered","B-DiscoverVulnerability","O","DiscoverVulnerability"
"404",654,"in","I-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"405",654,"old","O","I-Vulnerability","DiscoverVulnerability"
"406",654,"Intel","O","I-Vulnerability","DiscoverVulnerability"
"407",655,"But","O","B-Device","DiscoverVulnerability"
"408",655,"then","O","I-Device","DiscoverVulnerability"
"409",655,"again","O","I-Device","DiscoverVulnerability"
"410",658,"font","O","I-Person","DiscoverVulnerability"
"411",672,"iPhone","O","B-Vulnerability","DiscoverVulnerability"
"412",672,"4s","O","I-Vulnerability","DiscoverVulnerability"
"413",672,"&","O","I-Vulnerability","DiscoverVulnerability"
"414",672,",","O","B-Device","DiscoverVulnerability"
"415",672,",","O","I-Device","DiscoverVulnerability"
"416",672,".","O","B-Device","DiscoverVulnerability"
"417",704,"A","B-Phishing","O","Phishing"
"418",704,"spear-phishing","I-Phishing","O","Phishing"
"419",704,"a","O","B-Time","Phishing"
"420",704,"vulnerability","O","B-Capabilities","Phishing"
"421",704,"to","O","I-Capabilities","Phishing"
"422",704,"infect","O","I-Capabilities","Phishing"
"423",704,"users","O","I-Capabilities","Phishing"
"424",704,"with","O","I-Capabilities","Phishing"
"425",705,"KILLER","O","I-Capabilities","Phishing"
"426",705,"!","O","I-Capabilities","Phishing"
"427",706,"OnePlus","O","I-Capabilities","Phishing"
"428",706,"#TechTongue","O","B-Vulnerability","Phishing"
"429",706,"#Tech","O","I-Vulnerability","Phishing"
"430",713,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"431",720,"reporting","B-DiscoverVulnerability","O","DiscoverVulnerability"
"432",721,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"433",722,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"434",727,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"435",731,"to","O","I-Vulnerability","DiscoverVulnerability"
"436",739,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"437",741,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"438",742,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"439",742,"iOS","O","B-Person","DiscoverVulnerability"
