"","ID","word","nugget","argument","Attack"
"108",302,"for","O","B-Device","PatchVulnerability"
"109",302,"the","O","I-Device","PatchVulnerability"
"110",308,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"111",309,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"112",309,"lock","O","B-System","PatchVulnerability"
"113",309,".","O","B-Vulnerability","PatchVulnerability"
"114",311,"PayPal","O","I-Vulnerability","PatchVulnerability"
"115",311,"Vulnerability","O","I-Vulnerability","PatchVulnerability"
"116",311,"Allows","O","I-Vulnerability","PatchVulnerability"
"117",316,"open","O","B-Vulnerability","PatchVulnerability"
"118",316,"to","O","I-Vulnerability","PatchVulnerability"
"119",324,".","O","B-System","PatchVulnerability"
"120",325,"lead","O","I-Version","PatchVulnerability"
"121",325,"http://bit.ly/1jzOycrÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","B-System","PatchVulnerability"
"122",327,"open","O","B-Vulnerability","PatchVulnerability"
"123",327,"to","O","I-Vulnerability","PatchVulnerability"
"124",331,"to","O","I-Vulnerability","PatchVulnerability"
"125",332,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"126",332,"iOS","O","B-Person","DiscoverVulnerability"
"127",332,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"128",332,"file","O","B-System","DiscoverVulnerability"
"129",332,"attack","O","I-Software","DiscoverVulnerability"
"130",334,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"131",334,"iOS","O","B-Person","DiscoverVulnerability"
"132",334,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"133",334,"file","O","B-System","DiscoverVulnerability"
"134",334,"attack","O","I-Software","DiscoverVulnerability"
"135",336,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"136",336,"iOS","O","B-Person","DiscoverVulnerability"
"137",336,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"138",336,"file","O","B-System","DiscoverVulnerability"
"139",336,"attack","O","I-Software","DiscoverVulnerability"
"140",338,"vulnerability","O","I-Organization","DiscoverVulnerability"
"141",338,"shortcomings","O","I-Vulnerability","DiscoverVulnerability"
"142",338,"helps","O","I-Vulnerability","DiscoverVulnerability"
"143",344,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"144",344,"iOS","O","B-Person","DiscoverVulnerability"
"145",344,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"146",344,"file","O","B-System","DiscoverVulnerability"
"147",344,"attack","O","I-Software","DiscoverVulnerability"
"148",347,":","O","B-Vulnerability","DiscoverVulnerability"
"149",347,"[","O","B-Vulnerability","DiscoverVulnerability"
"150",347,"http://eset.comÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","I-Vulnerability","DiscoverVulnerability"
"151",351,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"152",352,"is","B-DiscoverVulnerability","O","DiscoverVulnerability"
"153",352,"his","O","B-Person","DiscoverVulnerability"
"154",352,"might","B-DiscoverVulnerability","O","DiscoverVulnerability"
"155",352,"be","I-DiscoverVulnerability","O","DiscoverVulnerability"
"156",352,"vulnerable","I-DiscoverVulnerability","O","DiscoverVulnerability"
"157",357,"of","O","B-Organization","DiscoverVulnerability"
"158",357,"patch","B-PatchVulnerability","O","PatchVulnerability"
"159",357,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"160",357,"http://okt.to/OmAOCzÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"161",357,"?","O","I-Vulnerability","DiscoverVulnerability"
"162",361,"to","O","I-Vulnerability","DiscoverVulnerability"
"163",363,"open","O","B-Vulnerability","DiscoverVulnerability"
"164",363,"to","O","I-Vulnerability","DiscoverVulnerability"
"165",364,"open","O","B-Vulnerability","DiscoverVulnerability"
"166",364,"to","O","I-Vulnerability","DiscoverVulnerability"
"167",365,"open","O","B-Vulnerability","DiscoverVulnerability"
"168",365,"to","O","I-Vulnerability","DiscoverVulnerability"
"169",367,"to","O","I-Vulnerability","DiscoverVulnerability"
"170",369,"open","O","B-Vulnerability","DiscoverVulnerability"
"171",369,"to","O","I-Vulnerability","DiscoverVulnerability"
"172",370,"open","O","B-Vulnerability","DiscoverVulnerability"
"173",370,"to","O","I-Vulnerability","DiscoverVulnerability"
"174",372,"open","O","B-Vulnerability","DiscoverVulnerability"
"175",372,"to","O","I-Vulnerability","DiscoverVulnerability"
"176",375,"open","O","B-Vulnerability","DiscoverVulnerability"
"177",375,"to","O","I-Vulnerability","DiscoverVulnerability"
"178",379,"open","O","B-Vulnerability","DiscoverVulnerability"
"179",379,"to","O","I-Vulnerability","DiscoverVulnerability"
"180",382,"increased","I-PatchVulnerability","O","PatchVulnerability"
"181",384,"WinRAR","O","I-Vulnerability","PatchVulnerability"
"182",387,"on","O","B-Vulnerability","PatchVulnerability"
"183",394,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"184",394,"vulnerability","O","B-Vulnerability","DiscoverVulnerability"
"185",394,"Creator","O","I-Vulnerability","DiscoverVulnerability"
"186",395,"exposed","B-DiscoverVulnerability","O","DiscoverVulnerability"
"187",395,"vulnerability","O","B-Vulnerability","DiscoverVulnerability"
"188",395,"Creator","O","I-Vulnerability","DiscoverVulnerability"
"189",416,"Vulnerability","O","I-Vulnerability","DiscoverVulnerability"
"190",432,"A","O","B-Vulnerability","DiscoverVulnerability"
"191",432,"affects","B-DiscoverVulnerability","O","DiscoverVulnerability"
"192",432,"these","O","B-Vulnerability","DiscoverVulnerability"
"193",432,"of","O","I-Vulnerability","DiscoverVulnerability"
"194",432,"Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","B-System","DiscoverVulnerability"
"195",434,"affects","B-DiscoverVulnerability","O","DiscoverVulnerability"
"196",434,"of","O","I-Vulnerability","DiscoverVulnerability"
"197",434,":","O","B-System","DiscoverVulnerability"
"198",437,"to","O","I-Vulnerability","DiscoverVulnerability"
"199",446,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"200",446,"http://www.welivesecurity.com/2015/09/30/significant-winrar-vulnerability-identified/Ã<U+0083>Â<U+0082>Ã<U+0082>Â Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","B-Vulnerability","DiscoverVulnerability"
"201",448,"WinRAR","O","I-Vulnerability","DiscoverVulnerability"
"202",448,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"203",448,"see","O","B-Vulnerability","DiscoverVulnerability"
"204",448,"http://disq.us/8os0y6Ã<U+0083>Â<U+0082>Ã<U+0082>Â pic.twitter.com/FkRAKzCQPh","O","B-Vulnerability","DiscoverVulnerability"
"205",450,"Expert","O","I-Vulnerability","DiscoverVulnerability"
"206",451,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"207",451,"fuzzing","O","I-Vulnerability","DiscoverVulnerability"
"208",451,"got","B-PatchVulnerability","I-Vulnerability","PatchVulnerability"
"209",451,"patched","I-PatchVulnerability","O","PatchVulnerability"
"210",451,"in","O","B-Time","PatchVulnerability"
"211",451,".","O","B-Vulnerability","PatchVulnerability"
"212",453,"no","O","B-System","PatchVulnerability"
"213",454,"upload","O","B-System","PatchVulnerability"
"214",454,"file","O","I-Capabilities","PatchVulnerability"
"215",454,"http://haktuts.blogspot.com/2015/09/vulnerability-in-ios-allowing-attacker-to-upload-malicious-file.htmlÃ<U+0083>Â<U+0082>Ã<U+0082>Â Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","I-Capabilities","PatchVulnerability"
"216",455,"discloses","B-DiscoverVulnerability","O","DiscoverVulnerability"
"217",455,"in","O","B-Person","DiscoverVulnerability"
"218",455,"http://j.mp/1M6MF2ZÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"219",456,"Critical","O","I-Vulnerability","DiscoverVulnerability"
"220",464,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"221",466,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"222",467,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"223",468,"disclosure","I-DiscoverVulnerability","O","DiscoverVulnerability"
"224",470,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"225",470,"http://ift.tt/1WykD2LÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","B-Vulnerability","DiscoverVulnerability"
"226",470,"An","O","B-Vulnerability","DiscoverVulnerability"
"227",470,"expert","O","I-Vulnerability","DiscoverVulnerability"
"228",470,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"229",470,"the","O","B-Person","DiscoverVulnerability"
"230",470,"popular","O","I-Person","DiscoverVulnerability"
"231",473,"shows","B-DiscoverVulnerability","O","DiscoverVulnerability"
"232",496,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"233",496,"Siri","O","B-System","PatchVulnerability"
"234",496,"lock","O","B-Version","PatchVulnerability"
"235",496,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"236",496,"that","O","I-Vulnerability","PatchVulnerability"
"237",496,"let","O","I-Vulnerability","PatchVulnerability"
"238",496,"users","O","I-Vulnerability","PatchVulnerability"
"239",496,"access","O","I-Vulnerability","PatchVulnerability"
"240",496,"and","O","B-Capabilities","PatchVulnerability"
"241",496,"contacts","O","I-Capabilities","PatchVulnerability"
"242",496,"-","O","I-Capabilities","PatchVulnerability"
"243",496,"Mac","O","I-Capabilities","PatchVulnerability"
"244",496,"Rumors","O","I-Capabilities","PatchVulnerability"
"245",496,"http://buff.ly/1FItIS8Ã<U+0083>Â<U+0082>Ã<U+0082>Â ","O","I-Capabilities","PatchVulnerability"
"246",500,":","O","I-Vulnerability","PatchVulnerability"
"247",503,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"248",503,"-","O","B-Vulnerability","DiscoverVulnerability"
"249",503,"An","O","B-Vulnerability","DiscoverVulnerability"
"250",503,"expert","O","I-Vulnerability","DiscoverVulnerability"
"251",503,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"252",503,"popular","O","I-Person","DiscoverVulnerability"
"253",505,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"254",505,"Siri","O","B-System","PatchVulnerability"
"255",505,"lock","O","B-Version","PatchVulnerability"
"256",505,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"257",505,"that","O","I-Vulnerability","PatchVulnerability"
"258",505,"let","O","I-Vulnerability","PatchVulnerability"
"259",505,"users","O","I-Vulnerability","PatchVulnerability"
"260",505,"access","O","I-Vulnerability","PatchVulnerability"
"261",505,"and","O","B-Capabilities","PatchVulnerability"
"262",505,"contacts","O","I-Capabilities","PatchVulnerability"
"263",505,"on","O","I-Capabilities","PatchVulnerability"
"264",505,"a","O","I-Capabilities","PatchVulnerability"
"265",505,"locked","O","I-Capabilities","PatchVulnerability"
"266",507,"a","O","I-Device","PatchVulnerability"
"267",507,"related","O","I-Device","PatchVulnerability"
"268",507,"thinks","B-DiscoverVulnerability","O","DiscoverVulnerability"
"269",510,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"270",510,"Siri","O","B-System","PatchVulnerability"
"271",510,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"272",510,"that","O","I-Vulnerability","PatchVulnerability"
"273",510,"let","O","I-Vulnerability","PatchVulnerability"
"274",510,"users","O","I-Vulnerability","PatchVulnerability"
"275",510,"access","O","I-Vulnerability","PatchVulnerability"
"276",510,"and","O","B-Capabilities","PatchVulnerability"
"277",510,"contacts","O","I-Capabilities","PatchVulnerability"
"278",510,"on","O","I-Capabilities","PatchVulnerability"
"279",510,"a","O","I-Capabilities","PatchVulnerability"
"280",510,"locked","O","I-Capabilities","PatchVulnerability"
"281",510,"Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","I-Capabilities","PatchVulnerability"
"282",514,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"283",514,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"284",514,"that","O","I-Vulnerability","PatchVulnerability"
"285",514,"let","O","I-Vulnerability","PatchVulnerability"
"286",514,"users","O","I-Vulnerability","PatchVulnerability"
"287",514,"access","O","I-Vulnerability","PatchVulnerability"
"288",514,"and","O","B-Capabilities","PatchVulnerability"
"289",514,"contacts","O","I-Capabilities","PatchVulnerability"
"290",514,"on","O","I-Capabilities","PatchVulnerability"
"291",514,"a","O","I-Capabilities","PatchVulnerability"
"292",516,"traits","O","I-Device","PatchVulnerability"
"293",516,"of","O","I-Device","PatchVulnerability"
"294",519,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"295",519,"the","O","B-System","PatchVulnerability"
"296",519,"lock","O","B-Version","PatchVulnerability"
"297",519,"that","O","B-Vulnerability","PatchVulnerability"
"298",519,"allowed","O","I-Vulnerability","PatchVulnerability"
"299",519,"access","O","I-Vulnerability","PatchVulnerability"
"300",519,"to","O","I-Vulnerability","PatchVulnerability"
"301",519,"and","O","B-Capabilities","PatchVulnerability"
"302",519,"contacts","O","I-Capabilities","PatchVulnerability"
"303",519,"on","O","I-Capabilities","PatchVulnerability"
"304",519,"a","O","I-Capabilities","PatchVulnerability"
"305",519,"device","O","I-Capabilities","PatchVulnerability"
"306",521,"iOS","O","B-Device","PatchVulnerability"
"307",521,"9.0.2","O","I-Device","PatchVulnerability"
"308",521,"also","O","I-Device","PatchVulnerability"
"309",521,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"310",521,"the","O","B-System","PatchVulnerability"
"311",521,"lock","O","B-Version","PatchVulnerability"
"312",521,"that","O","B-Vulnerability","PatchVulnerability"
"313",521,"allowed","O","I-Vulnerability","PatchVulnerability"
"314",521,"access","O","I-Vulnerability","PatchVulnerability"
"315",521,"to","O","I-Vulnerability","PatchVulnerability"
"316",521,"and","O","B-Capabilities","PatchVulnerability"
"317",521,"contacts","O","I-Capabilities","PatchVulnerability"
"318",521,"on","O","I-Capabilities","PatchVulnerability"
"319",521,"a","O","I-Capabilities","PatchVulnerability"
"320",521,"device","O","I-Capabilities","PatchVulnerability"
"321",523,"iOS","O","B-Device","PatchVulnerability"
"322",523,"9.0.2","O","I-Device","PatchVulnerability"
"323",523,"fixes","B-PatchVulnerability","I-Device","PatchVulnerability"
"324",523,"Siri","O","B-System","PatchVulnerability"
"325",523,"lock","O","B-Version","PatchVulnerability"
"326",523,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"327",523,"that","O","I-Vulnerability","PatchVulnerability"
"328",523,"let","O","I-Vulnerability","PatchVulnerability"
"329",523,"users","O","I-Vulnerability","PatchVulnerability"
"330",523,"access","O","I-Vulnerability","PatchVulnerability"
"331",523,"and","O","B-Capabilities","PatchVulnerability"
"332",523,"contacts","O","I-Capabilities","PatchVulnerability"
"333",523,"on","O","I-Capabilities","PatchVulnerability"
"334",523,"a","O","I-Capabilities","PatchVulnerability"
"335",523,"locked","O","I-Capabilities","PatchVulnerability"
"336",525,"The","O","I-Device","PatchVulnerability"
"337",525,"Docs","O","I-Device","PatchVulnerability"
"338",527,"identified","B-DiscoverVulnerability","O","DiscoverVulnerability"
"339",527,"-","O","B-Vulnerability","DiscoverVulnerability"
"340",527,"An","O","B-Vulnerability","DiscoverVulnerability"
"341",527,"expert","O","I-Vulnerability","DiscoverVulnerability"
"342",527,"says","B-DiscoverVulnerability","O","DiscoverVulnerability"
"343",527,"popular","O","I-Person","DiscoverVulnerability"
"344",529,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"345",529,"Siri","O","B-System","PatchVulnerability"
"346",529,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"347",529,"that","O","I-Vulnerability","PatchVulnerability"
"348",529,"let","O","I-Vulnerability","PatchVulnerability"
"349",529,"users","O","I-Vulnerability","PatchVulnerability"
"350",529,"access","O","I-Vulnerability","PatchVulnerability"
"351",529,"and","O","B-Capabilities","PatchVulnerability"
"352",529,"contacts","O","I-Capabilities","PatchVulnerability"
"353",529,"on","O","I-Capabilities","PatchVulnerability"
"354",529,"a","O","I-Capabilities","PatchVulnerability"
"355",529,"lock","O","I-Capabilities","PatchVulnerability"
"356",529,"Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","I-Capabilities","PatchVulnerability"
"357",533,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"358",533,"Siri","O","B-System","PatchVulnerability"
"359",533,"lock","O","B-Version","PatchVulnerability"
"360",533,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"361",533,"that","O","I-Vulnerability","PatchVulnerability"
"362",533,"let","O","I-Vulnerability","PatchVulnerability"
"363",533,"users","O","I-Vulnerability","PatchVulnerability"
"364",533,"access","O","I-Vulnerability","PatchVulnerability"
"365",533,"and","O","B-Capabilities","PatchVulnerability"
"366",533,"contacts","O","I-Capabilities","PatchVulnerability"
"367",533,"on","O","I-Capabilities","PatchVulnerability"
"368",533,"a","O","I-Capabilities","PatchVulnerability"
"369",533,"locked","O","I-Capabilities","PatchVulnerability"
"370",535,"Zer0-day","O","I-Device","PatchVulnerability"
"371",535,"Vulnerability","O","I-Device","PatchVulnerability"
"372",537,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"373",537,"Siri","O","B-System","PatchVulnerability"
"374",537,"lock","O","B-Version","PatchVulnerability"
"375",537,"vulnerability","O","B-Vulnerability","PatchVulnerability"
"376",537,"that","O","I-Vulnerability","PatchVulnerability"
"377",537,"let","O","I-Vulnerability","PatchVulnerability"
"378",537,"users","O","I-Vulnerability","PatchVulnerability"
"379",537,"access","O","I-Vulnerability","PatchVulnerability"
"380",537,"and","O","B-Capabilities","PatchVulnerability"
"381",537,"contacts","O","I-Capabilities","PatchVulnerability"
"382",537,"on","O","I-Capabilities","PatchVulnerability"
"383",537,"a","O","I-Capabilities","PatchVulnerability"
"384",537,"locked","O","I-Capabilities","PatchVulnerability"
"385",539,"Vulnerability","O","I-Device","PatchVulnerability"
"386",539,"Is","O","I-Device","PatchVulnerability"
"387",545,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"388",545,"in","I-DiscoverVulnerability","O","DiscoverVulnerability"
"389",545,"the","O","B-Vulnerability","DiscoverVulnerability"
"390",545,"latest","O","I-Vulnerability","DiscoverVulnerability"
"391",545,"http://ow.ly/SR7NDÃ<U+0083>Â<U+0082>Ã<U+0082>Â ","O","I-Version","DiscoverVulnerability"
"392",545,"#datasec","O","I-Version","DiscoverVulnerability"
"393",546,"found","B-DiscoverVulnerability","O","DiscoverVulnerability"
"394",546,"vulnerability","O","B-Person","DiscoverVulnerability"
"395",546,"your","O","B-Vulnerability","DiscoverVulnerability"
"396",546,"website","O","I-Vulnerability","DiscoverVulnerability"
"397",546,",","O","I-Vulnerability","DiscoverVulnerability"
"398",548,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"399",548,"iOS","O","B-Person","DiscoverVulnerability"
"400",548,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"401",548,"file","O","B-System","DiscoverVulnerability"
"402",548,"attack","O","I-Software","DiscoverVulnerability"
"403",550,"discovered","B-DiscoverVulnerability","O","DiscoverVulnerability"
"404",550,"in","I-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"405",550,"old","O","I-Vulnerability","DiscoverVulnerability"
"406",550,"Intel","O","I-Vulnerability","DiscoverVulnerability"
"407",551,"But","O","B-Device","DiscoverVulnerability"
"408",551,"then","O","I-Device","DiscoverVulnerability"
"409",551,"again","O","I-Device","DiscoverVulnerability"
"410",554,"font","O","I-Person","DiscoverVulnerability"
"411",565,"iPhone","O","B-Vulnerability","DiscoverVulnerability"
"412",565,"4s","O","I-Vulnerability","DiscoverVulnerability"
"413",565,"&","O","I-Vulnerability","DiscoverVulnerability"
"414",565,",","O","B-Device","DiscoverVulnerability"
"415",565,",","O","I-Device","DiscoverVulnerability"
"416",565,".","O","B-Device","DiscoverVulnerability"
"417",588,"A","B-Phishing","O","Phishing"
"418",588,"spear-phishing","I-Phishing","O","Phishing"
"419",588,"a","O","B-Time","Phishing"
"420",588,"vulnerability","O","B-Capabilities","Phishing"
"421",588,"to","O","I-Capabilities","Phishing"
"422",588,"infect","O","I-Capabilities","Phishing"
"423",588,"users","O","I-Capabilities","Phishing"
"424",588,"with","O","I-Capabilities","Phishing"
"425",589,"KILLER","O","I-Capabilities","Phishing"
"426",589,"!","O","I-Capabilities","Phishing"
"427",590,"OnePlus","O","I-Capabilities","Phishing"
"428",590,"#TechTongue","O","B-Vulnerability","Phishing"
