ID,word,nugget,argument
1880,they,O,B-Organization
1880,published,B-DiscoverVulnerability,O
1880,public,I-DiscoverVulnerability,O
1880,details,I-DiscoverVulnerability,O
1880,last,O,B-Time
1880,Monday,O,I-Time
569,InterContinental,O,B-Organization
569,Hotels,O,I-Organization
569,Group,O,I-Organization
569,late,O,B-Time
569,last,O,I-Time
569,week,O,I-Time
569,payment,O,B-System
569,card,O,I-System
569,systems,O,I-System
569,"1,000",O,B-Number
569,its,O,B-Organization
569,hotels,O,I-Organization
569,had,B-Databreach,O
569,been,I-Databreach,O
569,breached,I-Databreach,O
2567,The,O,B-Organization
2567,company,O,I-Organization
2567,February,O,B-Time
2567,a,B-Databreach,O
2567,credit,I-Databreach,O
2567,card,I-Databreach,O
2567,breach,I-Databreach,O
2567,12,O,B-Number
2567,its,O,B-Organization
2567,hotels,O,I-Organization
2567,restaurants,O,B-Organization
3564,second,B-Databreach,O
3564,breach,I-Databreach,O
3564,hotels,O,B-Organization
3564,between,O,B-Time
3564,Sept.,O,I-Time
3564,29,O,I-Time
3564,and,O,I-Time
3564,Dec.,O,I-Time
3564,29,O,I-Time
4555,payment,O,B-PII
4555,card,O,I-PII
4555,data,O,I-PII
4555,was,B-Databreach,O
4555,accessed,I-Databreach,O
5534,the,O,B-Malware
5534,variant,O,I-Malware
5534,system,O,B-System
5534,siphoned,B-Databreach,O
5534,track,I-Databreach,O
5534,data,I-Databreach,O
5534,customers,O,B-Person
5534,card,O,B-PII
5534,number,O,I-PII
5534,expiration,O,B-Data
5534,date,O,I-Data
5534,internal,O,B-Data
5534,verification,O,I-Data
5534,code,O,I-Data
6489,the,B-Databreach,O
6489,first,I-Databreach,O
6489,breach,I-Databreach,O
6489,malware,O,B-Malware
6489,servers,O,B-System
6489,credit,O,B-PII
6489,cards,O,I-PII
6489,from,O,B-Time
6489,August,O,I-Time
6489,to,O,I-Time
6489,December,O,I-Time
6489,2016,O,I-Time
7420,That,B-Databreach,O
7420,breach,I-Databreach,O
7420,hotels,O,B-Organization
7420,bars,O,B-Organization
7420,restaurants,O,B-Organization
7420,hotels,O,B-Organization
7420,Michael,O,B-Organization
7420,Jordan,O,I-Organization
7420,âs,O,I-Organization
7420,Steak,O,I-Organization
7420,House,O,I-Organization
7420,and,O,I-Organization
7420,InterContinental,O,B-Organization
7420,Chicago,O,B-GPE
7420,Copper,O,B-Organization
7420,Lounge,O,I-Organization
7420,Intercontinental,O,B-Organization
7420,Los,O,B-GPE
7420,Angeles,O,I-GPE
8328,properties,O,B-Organization
8328,the,B-Databreach,O
8328,second,I-Databreach,O
8328,breach,I-Databreach,O
12159,this,B-Databreach,O
12159,most,I-Databreach,O
12159,recent,I-Databreach,O
12159,breach,I-Databreach,O
12159,U.S.-based,O,B-Organization
12159,chains,O,I-Organization
14650,a,B-Databreach,O
14650,breach,I-Databreach,O
14650,late,O,B-Time
14650,August,O,I-Time
14650,cards,O,B-PII
14650,from,O,B-Time
14650,Feb.,O,I-Time
14650,16,O,I-Time
14650,",",O,I-Time
14650,2016,O,I-Time
14650,and,O,I-Time
14650,July,O,I-Time
14650,its,O,B-Organization
14650,restaurants,O,I-Organization
14650,hotels,O,B-Organization
46,Splunk,O,B-Organization
46,addressed,B-PatchVulnerability,O
46,vulnerabilities,O,B-Vulnerability
46,Enterprise,O,B-Software
46,Light,O,B-Software
46,products,O,I-Software
3043,issues,O,B-Vulnerability
3043,Splunk,O,B-Organization
3043,upgrading,B-PatchVulnerability,O
3043,latest,O,B-Patch
3043,release,O,I-Patch
3043,applying,B-PatchVulnerability,O
4036,Splunk,O,B-Software
4036,Enterprise,O,I-Software
4036,Splunk,O,B-Software
4036,Light,O,I-Software
4036,releases,O,B-Patch
4036,future,O,B-Patch
4036,releases,O,I-Patch
4036,fixes,O,B-Patch
4036,vulnerabilities,O,B-Vulnerability
4036,bug,O,B-Patch
4036,fixes,O,I-Patch
4036,advisory,B-PatchVulnerability,O
4036,published,I-PatchVulnerability,O
4036,Splunk,O,B-Organization
5018,severe,O,B-Vulnerability
5018,issue,O,I-Vulnerability
5018,fixed,B-PatchVulnerability,O
5018,the,O,B-Organization
5018,company,O,I-Organization
5018,cross-site,O,B-Vulnerability
5018,scripting,O,I-Vulnerability
5018,(,O,I-Vulnerability
5018,XSS,O,I-Vulnerability
5018,the,O,B-System
5018,Web,O,I-System
5018,interface,O,I-System
5018,tracked,B-DiscoverVulnerability,O
5018,as,I-DiscoverVulnerability,O
5018,CVE-2018-7427,O,B-CVE
5984,severe,O,B-Vulnerability
5984,vulnerability,O,I-Vulnerability
5984,DoS,O,B-Vulnerability
5984,flaw,O,I-Vulnerability
5984,tracked,B-DiscoverVulnerability,O
5984,as,I-DiscoverVulnerability,O
5984,CVE-2018-7432,O,B-CVE
5984,be,B-DiscoverVulnerability,O
5984,exploited,I-DiscoverVulnerability,O
5984,using,O,B-Capabilities
5984,malicious,O,I-Capabilities
5984,HTTP,O,I-Capabilities
5984,requests,O,I-Capabilities
5984,sent,O,I-Capabilities
5984,to,O,I-Capabilities
5984,Splunkd,O,I-Capabilities
6924,issue,O,B-Vulnerability
6924,tracked,B-DiscoverVulnerability,O
6924,as,I-DiscoverVulnerability,O
6924,company,O,B-Organization
7844,company,O,B-Organization
7844,addressed,B-PatchVulnerability,O
7844,denial-of-service,O,B-Vulnerability
7844,(,O,I-Vulnerability
7844,DoS,O,I-Vulnerability
7844,tracked,B-DiscoverVulnerability,O
7844,as,I-DiscoverVulnerability,O
7844,CVE-2018-7429,O,B-CVE
7844,be,B-DiscoverVulnerability,O
7844,exploited,I-DiscoverVulnerability,O
7844,sending,O,B-Capabilities
7844,a,O,I-Capabilities
7844,specially,O,I-Capabilities
7844,crafted,O,I-Capabilities
7844,HTTP,O,I-Capabilities
7844,request,O,I-Capabilities
7844,to,O,I-Capabilities
7844,Splunkd,O,I-Capabilities
8731,flaw,O,B-Vulnerability
8731,addressed,B-PatchVulnerability,O
8731,vendor,O,B-Organization
8731,tracked,B-DiscoverVulnerability,O
8731,as,I-DiscoverVulnerability,O
8731,CVE-2018-7431,O,B-CVE
8731,issue,O,B-Vulnerability
8731,allows,O,B-Capabilities
8731,an,O,I-Capabilities
8731,authenticated,O,I-Capabilities
8731,attacker,O,I-Capabilities
8731,to,O,I-Capabilities
8731,download,O,I-Capabilities
8731,arbitrary,O,I-Capabilities
8731,files,O,I-Capabilities
8731,Django,O,B-Software
8731,app,O,I-Software
9583,vulnerability,O,B-Vulnerability
9583,been,B-DiscoverVulnerability,O
9583,rated,I-DiscoverVulnerability,O
10387,vendor,O,B-Organization
10387,found,B-DiscoverVulnerability,O
10387,vulnerabilities,O,B-Vulnerability
10387,been,B-DiscoverVulnerability,O
10387,exploited,I-DiscoverVulnerability,O
58,The,O,B-Person
58,boss,O,I-Person
58,a,O,B-Organization
58,company,O,I-Organization
58,held,B-Ransom,O
58,to,I-Ransom,O
58,ransom,I-Ransom,O
58,computer,O,B-Person
58,hackers,O,I-Person
1057,Kettell,O,B-Organization
1057,Video,O,I-Organization
1057,Productions,O,I-Organization
1057,hackers,O,B-Person
1057,encrypted,O,B-Capabilities
1057,all,O,I-Capabilities
1057,his,O,I-Capabilities
1057,files,O,I-Capabilities
1057,demanded,B-Ransom,O
1057,money,I-Ransom,O
4048,They,O,B-Person
4048,staff,O,B-Person
4048,demanded,B-Ransom,O
4048,Â£,O,B-Money
4048,online,O,B-PaymentMethod
4048,currency,O,I-PaymentMethod
4048,bitcoins,O,I-PaymentMethod
3617,Netflix,O,B-Organization
3617,the,B-Databreach,O
3617,leaked,I-Databreach,O
3617,episodes,O,B-Data
9248,Their,O,B-Data
9248,files,O,I-Data
9248,were,B-Databreach,O
9248,stolen,I-Databreach,O
10077,Ransomware,O,B-Capabilities
10077,encrypts,O,I-Capabilities
10077,the,O,I-Capabilities
10077,files,O,I-Capabilities
10077,on,O,I-Capabilities
10077,a,O,I-Capabilities
10077,computer,O,I-Capabilities
10849,Victims,O,B-Organization
10849,pay,B-Ransom,O
10849,a,I-Ransom,O
10849,fee,I-Ransom,O
10849,(,I-Ransom,O
12193,Late,O,B-Time
12193,last,O,I-Time
12193,year,O,I-Time
12193,TheDarkOverlord,O,B-Organization
12193,hacked,B-Databreach,O
12193,Larson,O,B-Organization
12193,Studios,O,I-Organization
12193,downloaded,B-Databreach,O
12193,files,O,B-Data
13686,Larson,O,B-Organization
13686,Studios,O,I-Organization
13686,the,B-Ransom,O
13686,extortion,I-Ransom,O
13686,demands,I-Ransom,O
14063,Netflix,O,B-Organization
14063,pay,B-Ransom,O
15416,their,O,B-Data
15416,popular,O,I-Data
15416,series,O,I-Data
15416,leaked,B-Databreach,O
15627,Netflix,O,B-Organization
15627,Larson,O,B-Organization
15627,Studios,O,I-Organization
15627,are,B-Ransom,O
15627,(,I-Ransom,O
15627,were,I-Ransom,O
15627,),I-Ransom,O
15627,they,O,B-Organization
15627,were,O,B-Capabilities
15627,not,O,I-Capabilities
15627,infected,O,I-Capabilities
15627,with,O,I-Capabilities
15627,Ransomware,O,I-Capabilities
15627,have,B-Databreach,O
15627,complete,I-Databreach,O
15627,access,I-Databreach,O
15627,their,O,B-Data
15627,files,O,I-Data
73,A,O,B-Person
73,local,O,I-Person
73,resident,O,I-Person
73,receiving,B-Phishing,O
73,an,O,B-File
73,email,O,I-File
73,claiming,B-Phishing,O
73,to,I-Phishing,O
73,be,I-Phishing,O
73,HMRC,O,B-Organization
73,receive,O,B-Purpose
73,a,O,I-Purpose
73,tax,O,I-Purpose
73,refund,O,I-Purpose
73,Â£,O,B-Money
1072,the,O,B-File
1072,fake,O,I-File
1072,HMRC,O,I-File
1072,email,O,I-File
1072,advises,B-Phishing,O
1072,you,O,B-Person
1072,click,O,B-Capabilities
1072,on,O,I-Capabilities
1072,a,O,I-Capabilities
1072,link,O,I-Capabilities
1072,to,O,I-Capabilities
1072,complete,O,I-Capabilities
1072,and,O,I-Capabilities
1072,submit,O,I-Capabilities
1072,the,O,I-Capabilities
1072,refund,O,I-Capabilities
1072,form,O,I-Capabilities
2071,take,O,B-Capabilities
2071,you,O,I-Capabilities
2071,to,O,I-Capabilities
2071,a,O,I-Capabilities
2071,fraudulent,O,I-Capabilities
2071,website,O,I-Capabilities
2071,supply,O,B-Purpose
2071,your,O,I-Purpose
2071,name,O,I-Purpose
2071,",",O,I-Purpose
2071,address,O,I-Purpose
2071,",",O,I-Purpose
2071,and,O,I-Purpose
3070,The,O,B-Website
3070,fake,O,I-Website
3070,HMRC,O,I-Website
3070,site,O,I-Website
3070,supply,O,B-Purpose
3070,your,O,I-Purpose
3070,credit,O,I-Purpose
3070,card,O,I-Purpose
3070,numbers,O,I-Purpose
5044,the,O,B-Data
5044,information,O,I-Data
5044,will,B-Databreach,O
5044,be,I-Databreach,O
5044,collected,I-Databreach,O
5044,scammers,O,B-Person
5044,commit,O,B-Purpose
5044,fraud,O,I-Purpose
5044,steal,O,B-Purpose
5044,your,O,I-Purpose
5044,identity,O,I-Purpose
6010,you,O,B-Person
6010,have,B-Phishing,O
6010,received,I-Phishing,O
6010,an,O,B-Organization
6010,HMRC,O,I-Organization
6010,phishing/bogus,O,B-File
6010,email,O,I-File
291,Mozilla,O,B-Organization
291,has,B-PatchVulnerability,O
291,recently,I-PatchVulnerability,O
291,fixed,I-PatchVulnerability,O
291,multiple,O,B-Vulnerability
291,security,O,I-Vulnerability
291,flaws,O,I-Vulnerability
291,Thunderbird,O,B-Software
291,60.3,O,B-Version
1290,These,O,B-Vulnerability
1290,vulnerabilities,O,I-Vulnerability
1290,a,O,B-Vulnerability
1290,critical,O,I-Vulnerability
1290,security,O,I-Vulnerability
1290,bug,O,I-Vulnerability
1290,affected,B-DiscoverVulnerability,O
1290,Mozilla,O,B-Organization
1290,Firefox,O,B-Software
1290,Firefox,O,B-Software
1290,ESR,O,I-Software
1290,browsers,O,I-Software
2289,Last,O,B-Time
2289,week,O,I-Time
2289,Mozilla,O,B-Organization
2289,patched,B-PatchVulnerability,O
2289,multiple,O,B-Vulnerability
2289,security,O,I-Vulnerability
2289,flaws,O,I-Vulnerability
2289,Thunderbird,O,B-Software
2289,60.3,O,B-Version
2289,a,O,B-Vulnerability
2289,critical,O,I-Vulnerability
2289,security,O,I-Vulnerability
2289,flaw,O,I-Vulnerability
3288,community,O,B-Person
3288,members,O,I-Person
3288,and,O,I-Person
3288,developers,O,I-Person
3288,Mozilla,O,B-Organization
3288,discovered,B-DiscoverVulnerability,O
3288,reported,O,B-Vulnerability
3288,memory,O,I-Vulnerability
3288,safety,O,I-Vulnerability
3288,bugs,O,I-Vulnerability
3288,affected,B-DiscoverVulnerability,O
3288,Thunderbird,O,B-Software
3288,email,O,I-Software
3288,client,O,I-Software
3288,had,B-DiscoverVulnerability,O
3288,impacted,I-DiscoverVulnerability,O
3288,Firefox,O,B-Software
3288,Firefox,O,B-Software
3288,ESR,O,I-Software
4281,bugs,O,B-Vulnerability
4281,memory,O,B-Capabilities
4281,corruption,O,I-Capabilities
4281,be,B-DiscoverVulnerability,O
4281,exploited,I-DiscoverVulnerability,O
4281,run,O,B-Capabilities
4281,arbitrary,O,I-Capabilities
4281,code,O,I-Capabilities
5262,Mozilla,O,B-Organization
5262,has,B-PatchVulnerability,O
5262,fixed,I-PatchVulnerability,O
5262,the,O,B-Vulnerability
5262,bugs,O,I-Vulnerability
5262,Firefox,O,B-Software
5262,63,O,B-Version
5262,Firefox,O,B-Software
5262,ESR,O,I-Software
5262,60.3,O,B-Version
5262,Thunderbird,O,B-Software
5262,60.3,O,B-Version
6227,Mozilla,O,B-Organization
6227,released,B-PatchVulnerability,O
6227,fixes,O,B-Patch
6227,vulnerabilities,O,B-Vulnerability
6227,affecting,B-DiscoverVulnerability,O
6227,Thunderbird,O,B-Software
12567,flaws,O,B-Vulnerability
12567,be,B-DiscoverVulnerability,O
12567,exploited,I-DiscoverVulnerability,O
12567,Thunderbird,O,B-Software
12567,browser,O,B-System
13083,Mozilla,O,B-Organization
13083,patched,B-PatchVulnerability,O
13083,multiple,O,B-Vulnerability
13083,vulnerabilities,O,I-Vulnerability
13083,Thunderbird,O,B-Software
13083,Firefox,O,B-Software
13083,last,O,B-Time
13083,month,O,I-Time
13538,Mozilla,O,B-Organization
13538,released,B-PatchVulnerability,O
13538,a,O,B-Patch
13538,fix,O,I-Patch
13538,critical,O,B-Vulnerability
13538,code,O,I-Vulnerability
13538,execution,O,I-Vulnerability
13538,vulnerability,O,I-Vulnerability
13538,affecting,B-DiscoverVulnerability,O
13538,Thunderbird,O,B-Software
13538,60.2,O,B-Version
13538,Firefox,O,B-Software
13538,61,O,B-Version
13538,Firefox,O,B-Software
13538,ESR,O,I-Software
13538,60.1,O,B-Version
264,Google,O,B-Organization
264,has,B-PatchVulnerability,O
264,released,I-PatchVulnerability,O
264,Android,O,B-Patch
264,security,O,I-Patch
264,update,O,I-Patch
264,the,O,B-Device
264,supported,O,I-Device
264,Nexus,O,I-Device
264,Pixel,O,B-Device
264,devices,O,I-Device
1263,Android,O,B-Patch
1263,security,O,I-Patch
1263,update,O,I-Patch
1263,fixes,B-PatchVulnerability,O
1263,59,O,B-Vulnerability
1263,issues,O,I-Vulnerability
1263,the,O,B-Patch
1263,first,O,I-Patch
1263,update,O,I-Patch
1263,devices,O,B-Device
1263,Android,O,B-System
1263,9.0,O,B-Version
1263,Pie,O,I-Version
1263,the,O,B-Organization
1263,search,O,I-Organization
1263,giant,O,I-Organization
1263,released,B-PatchVulnerability,O
1263,its,O,B-Version
1263,latest,O,I-Version
1263,Android,O,I-Version
1263,version,O,I-Version
1263,last,O,B-Time
1263,month,O,I-Time
2262,It,O,B-Organization
2262,addresses,B-PatchVulnerability,O
2262,vulnerabilities,O,B-Vulnerability
3261,Google,O,B-Organization
3261,being,B-DiscoverVulnerability,O
3261,affected,I-DiscoverVulnerability,O
3261,the,O,B-Vulnerability
3261,security,O,I-Vulnerability
3261,issues,O,I-Vulnerability
3261,have,B-PatchVulnerability,O
3261,been,I-PatchVulnerability,O
3261,fixed,I-PatchVulnerability,O
3261,the,O,B-Patch
3261,new,O,I-Patch
3261,update,O,I-Patch
5235,Essential,O,B-Device
5235,Products,O,I-Device
5235,has,B-PatchVulnerability,O
5235,also,I-PatchVulnerability,O
5235,separately,I-PatchVulnerability,O
5235,released,I-PatchVulnerability,O
5235,Android,O,B-Patch
5235,security,O,I-Patch
5235,update,O,I-Patch
5235,the,O,B-Device
5235,Essential,O,I-Device
5235,Phone,O,I-Device
6200,Google,O,B-Organization
6200,Android,O,B-Patch
6200,security,O,I-Patch
6200,patch,O,I-Patch
6200,2018-09-01,O,B-Time
6200,addresses,B-PatchVulnerability,O
6200,24,O,B-Vulnerability
6200,issues,O,I-Vulnerability
6200,the,O,B-Patch
6200,security,O,I-Patch
6200,patch,O,I-Patch
6200,2018-09-05,O,B-Time
6200,fixes,B-PatchVulnerability,O
6200,35,O,B-Vulnerability
6200,issues,O,I-Vulnerability
7140,The,O,B-Patch
7140,update,O,I-Patch
7140,fixes,B-PatchVulnerability,O
7140,vulnerabilities,O,B-Vulnerability
7140,let,O,B-Capabilities
7140,a,O,I-Capabilities
7140,remote,O,I-Capabilities
7140,attacker,O,I-Capabilities
7140,execute,O,I-Capabilities
7140,arbitrary,O,I-Capabilities
7140,code,O,I-Capabilities
7140,using,O,I-Capabilities
7140,a,O,I-Capabilities
7140,specially,O,I-Capabilities
7140,crafted,O,I-Capabilities
7140,file,O,I-Capabilities
8057,it,O,B-Patch
8057,fixes,B-PatchVulnerability,O
8057,issues,O,B-Vulnerability
8057,the,O,B-Software
8057,Android,O,I-Software
8057,runtime,O,I-Software
8057,framework,O,B-Software
8057,library,O,B-Software
10572,The,O,B-Patch
10572,update,O,I-Patch
10572,improves,B-PatchVulnerability,O
10572,all,O,B-Device
10572,Pixel,O,I-Device
10572,devices,O,I-Device
278,D-Link,O,B-Organization
278,warnings,B-DiscoverVulnerability,O
278,security,O,B-Person
278,researchers,O,I-Person
278,company,O,B-Organization
278,routers,O,B-Device
1277,Silesian,O,B-Person
1277,University,O,I-Person
1277,of,O,I-Person
1277,Technology,O,I-Person
1277,researcher,O,I-Person
1277,BÅazej,O,I-Person
1277,Adamczyk,O,I-Person
1277,contacted,B-DiscoverVulnerability,O
1277,D-Link,O,B-Organization
1277,last,O,B-Time
1277,May,O,I-Time
1277,three,O,B-Vulnerability
1277,vulnerabilities,O,I-Vulnerability
1277,affecting,B-DiscoverVulnerability,O
1277,router,O,B-Device
1277,models,O,I-Device
2276,the,B-DiscoverVulnerability,O
2276,warning,I-DiscoverVulnerability,O
2276,D-Link,O,B-Organization
2276,patched,B-PatchVulnerability,O
2276,routers,O,B-Device
2276,reveal,B-DiscoverVulnerability,O
2276,models,O,B-Device
3275,prompting,B-DiscoverVulnerability,O
3275,Adamczyk,O,B-Person
3275,D-Link,O,B-Organization
3275,revealed,B-DiscoverVulnerability,O
3275,routers,O,B-Device
3275,would,B-PatchVulnerability,O
3275,not,I-PatchVulnerability,O
3275,get,I-PatchVulnerability,O
3275,a,O,B-Patch
3275,security,O,I-Patch
3275,patch,O,I-Patch
4268,The,O,B-Device
4268,D-Link,O,I-Device
4268,models,O,I-Device
4268,affected,B-DiscoverVulnerability,O
4268,the,O,B-Device
4268,DWR-116,O,I-Device
4268,DWR-140L,O,B-Device
4268,DWR-512,O,B-Device
4268,DWR-640L,O,B-Device
4268,DWR-712,O,B-Device
4268,DWR-912,O,B-Device
4268,DWR-921,O,B-Device
4268,DWR-111,O,B-Device
4268,2013,O,B-Time
4268,the,O,B-Device
4268,DIR-640L,O,I-Device
4268,first,B-DiscoverVulnerability,O
4268,appearing,I-DiscoverVulnerability,O
4268,2012,O,B-Time
4268,the,O,B-Device
4268,DWR-111,O,I-Device
4268,2014,O,B-Time
6214,Adamczyk,O,B-Person
6214,released,B-DiscoverVulnerability,O
6214,details,I-DiscoverVulnerability,O
6214,the,O,B-Vulnerability
6214,security,O,I-Vulnerability
6214,flaws,O,I-Vulnerability
6214,D-Link,O,B-Organization
6214,address,B-PatchVulnerability,O
6214,the,O,B-Vulnerability
6214,issues,O,I-Vulnerability
7154,D-Link,O,B-Organization
7154,has,B-PatchVulnerability,O
7154,failed,I-PatchVulnerability,O
7154,to,I-PatchVulnerability,O
7154,address,I-PatchVulnerability,O
7154,security,O,B-Vulnerability
7154,vulnerabilities,O,I-Vulnerability
7154,affecting,B-DiscoverVulnerability,O
7154,its,O,B-Device
7154,products,O,I-Device
7154,being,B-DiscoverVulnerability,O
7154,notified,I-DiscoverVulnerability,O
7154,researchers,O,B-Person
8070,The,O,B-Person
8070,security,O,I-Person
8070,researcher,O,I-Person
8070,noted,B-DiscoverVulnerability,O
8070,the,O,B-Vulnerability
8070,new,O,I-Vulnerability
8070,flaw,O,I-Vulnerability
8070,arose,B-DiscoverVulnerability,O
8070,D-Link,O,B-Organization
8070,it,O,B-Organization
8070,had,B-PatchVulnerability,O
8070,fixed,I-PatchVulnerability,O
8070,a,O,B-Vulnerability
8070,prior,O,I-Vulnerability
8070,security,O,I-Vulnerability
8070,flaw,O,I-Vulnerability
9794,the,O,B-Organization
9794,manufacturer,O,I-Organization
9794,routers,O,B-Device
9794,unpatched,B-PatchVulnerability,O
10584,The,O,B-Organization
10584,American,O,I-Organization
10584,Consumer,O,I-Organization
10584,Institute,O,I-Organization
10584,reported,B-DiscoverVulnerability,O
10584,the,O,B-Device
10584,186,O,I-Device
10584,routers,O,I-Device
10584,contained,B-DiscoverVulnerability,O
10584,firmware,O,B-Vulnerability
10584,vulnerabilities,O,I-Vulnerability
11313,ACI,O,B-Organization
11313,discovered,B-DiscoverVulnerability,O
11313,vulnerabilities,O,B-Vulnerability
11975,routers,O,B-Device
11975,contained,B-DiscoverVulnerability,O
11975,12,O,B-Vulnerability
11975,critical,O,I-Vulnerability
11975,vulnerabilities,O,I-Vulnerability
11975,36,O,B-Vulnerability
11975,high-risk,O,I-Vulnerability
11975,vulnerabilities,O,I-Vulnerability
13532,get,B-PatchVulnerability,O
13532,patches,O,B-Patch
13532,a,O,B-Vulnerability
13532,security,O,I-Vulnerability
13532,vulnerability,O,I-Vulnerability
638,A,B-Phishing,O
638,massive,I-Phishing,O
638,phishing,I-Phishing,O
638,campaign,I-Phishing,O
638,Google,O,B-PII
638,accounts,O,I-PII
638,Wednesday,O,B-Time
638,afternoon,O,I-Time
1637,they,O,B-Person
1637,received,B-Phishing,O
1637,emails,O,B-File
1637,looked,B-Phishing,O
1637,like,I-Phishing,O
1637,a,O,B-Website
1637,link,O,I-Website
1637,a,O,B-Software
1637,Google,O,I-Software
1637,Doc,O,I-Software
1637,appeared,B-Phishing,O
1637,to,I-Phishing,O
1637,come,I-Phishing,O
1637,from,I-Phishing,O
1637,someone,O,B-Person
1637,they,O,I-Person
1637,know,O,I-Person
2636,malicious,O,B-File
2636,emails,O,I-File
2636,hijack,O,B-Purpose
2636,their,O,I-Purpose
2636,accounts,O,I-Purpose
10090,We,O,B-Organization
10090,the,O,B-Website
10090,fake,O,I-Website
10090,pages,O,I-Website
10090,pushed,B-PatchVulnerability,O
10090,updates,O,B-Patch
10090,Safe,O,B-Organization
10090,Browsing,O,I-Organization
10090,spoofing,B-Phishing,O
11568,the,B-Phishing,O
11568,phishing,I-Phishing,O
11568,campaign,I-Phishing,O
11568,Gmail,O,B-Person
11568,users,O,I-Person
912,The,O,B-Person
912,hackers,O,I-Person
912,lock,O,B-Capabilities
912,these,O,I-Capabilities
912,computers,O,I-Capabilities
912,up,O,I-Capabilities
912,demand,B-Ransom,O
912,a,I-Ransom,O
912,ransom,I-Ransom,O
912,city,O,B-Organization
4890,The,O,B-Person
4890,hackers,O,I-Person
4890,the,O,B-Person
4890,owner,O,I-Person
4890,asking,B-Ransom,O
4890,for,I-Ransom,O
4890,a,I-Ransom,O
4890,ransom,I-Ransom,O
5863,Ransomware,O,B-Malware
5863,infects,O,B-Capabilities
5863,computers,O,I-Capabilities
5863,locks,O,B-Capabilities
5863,or,O,I-Capabilities
5863,encrypts,O,I-Capabilities
5863,their,O,I-Capabilities
5863,content,O,I-Capabilities
5863,demanding,B-Ransom,O
5863,a,I-Ransom,O
5863,ransom,I-Ransom,O
5863,the,O,B-Device
5863,machines,O,I-Device
6807,victims,O,B-Person
6807,pay,B-Ransom,O
6807,the,I-Ransom,O
6807,ransom,I-Ransom,O
14010,2015,O,B-Time
14010,Russia,O,B-Organization
14010,hacking,B-Databreach,O
14010,computers,O,B-Device
14010,members,O,B-Person
14010,Germany,O,B-GPE
14010,lower,O,B-Organization
14010,house,O,I-Organization
14010,of,O,I-Organization
14010,parliament,O,I-Organization
14010,the,O,B-Organization
14010,Bundestag,O,I-Organization
14010,stealing,B-Databreach,O
14010,data,I-Databreach,O
14341,the,B-Databreach,O
14341,attack,I-Databreach,O
14341,Sofacy,O,B-Organization
14341,the,O,B-Organization
14341,Russian,O,I-Organization
14341,state,O,I-Organization
15393,organization,O,B-Organization
15393,has,B-Databreach,O
15393,attacked,I-Databreach,O
15393,German,O,B-Organization
15393,Parliament,O,I-Organization
15393,stealing,B-Databreach,O
15393,the,O,B-Data
15393,emails,O,I-Data
15393,German,O,B-Person
15393,members,O,I-Person
15393,Parliament,O,B-Organization
15393,institution,O,B-Organization
15393,has,B-Databreach,O
